date,AGG,EEM,GLD,IWM,QQQ,SPY,TLT
2011-08-08,0.3927991609206676,0.08484371490679228,0.13848087185020125,0.0825128924448793,0.09378171949203763,0.09837312782454896,0.1092085125608729
2011-08-09,0.3945351944137475,0.08290568396332776,0.14351194808268744,0.07966244210889405,0.09146104568564742,0.09522670141648573,0.1126969843292101
2011-08-10,0.3939133814387334,0.08339209133799802,0.13873655966181928,0.0809325141033089,0.09294815356451568,0.09561808939390291,0.11445921049972199
2011-08-11,0.3766568962719466,0.08591291533443524,0.14543374050307786,0.08398763393309065,0.09631465627204211,0.09852440917569896,0.11316974850970858
2011-08-12,0.3749614337122437,0.08644357596569091,0.14553513318663563,0.08441016872460891,0.09657830827068503,0.09889109745708884,0.11318028268304692
2011-08-15,0.37666184157988103,0.08612020416489706,0.14548241306280896,0.0838919728099136,0.09648427226535328,0.09828327863491197,0.11307601748223414
2011-08-16,0.3767027454894888,0.08621383678877602,0.14575304802065356,0.08380365364966258,0.09658631368643288,0.09839358891125,0.11254681345373611
2011-08-17,0.37645281215751986,0.08650317204913377,0.1457723373844262,0.08400058605432476,0.09685637458016635,0.09857200727620957,0.11184271049821953
2011-08-18,0.38248686346432337,0.08569815151511069,0.14546908206919928,0.0826665449385976,0.09456503010217057,0.09688617197672875,0.11222815593386967
2011-08-19,0.38315030476360057,0.08569597178172556,0.14493233908858905,0.08276373707927993,0.09432578910242084,0.09671758745329954,0.1124142707310844
2011-08-22,0.3845629606639,0.08613269735143075,0.14158285598519837,0.08318967160989915,0.0946554201129411,0.09707127298905442,0.1128051212875762
2011-08-23,0.39217559513735334,0.08651969440009805,0.13337753942182062,0.0827599232844449,0.09396023986669201,0.09699817248800362,0.11420883540158755
2011-08-24,0.39125229803040296,0.08812722985219923,0.12881024165002283,0.0840021186969083,0.09580507245887432,0.09847871610503829,0.11352432320655412
2011-08-25,0.39263207637154635,0.08777214428309098,0.12824069412183128,0.08397536408208976,0.09569566842877655,0.09846782002241927,0.11321623269024576
2011-08-26,0.3972398911657245,0.08748808798119516,0.12491892762797284,0.08343129016293438,0.09473427780810653,0.09798079424116599,0.1142067310129005
2011-08-29,0.40051841328095494,0.08704168399151413,0.12364409899628885,0.0824711256284188,0.09459006732825484,0.09743141376679987,0.11430319700776852
2011-08-30,0.4007865821419647,0.08753314526325075,0.12133968584651052,0.08288184190317427,0.09499088216163232,0.09794462218291404,0.11452324050055329
2011-08-31,0.4016924670417535,0.08730430597180806,0.12111721851495502,0.08297370237272154,0.09509784378401764,0.09801925325668079,0.11379520905806358
2011-09-01,0.40109383764676076,0.0875447582678077,0.1216548629375721,0.08298879156649609,0.09531976626962069,0.0981734277058897,0.11322455560585284
2011-09-02,0.4042401153236208,0.08780784224067396,0.1199794326903112,0.08276540120493216,0.09529674341714073,0.09809503425981443,0.1118154308635067
2011-09-06,0.40309066231771284,0.08807061623633602,0.12039396095443171,0.08288226044714761,0.09556591736404611,0.09826621593545284,0.11173036674487287
2011-09-07,0.4063562190744192,0.08796147736964904,0.11798339539591021,0.08257776719090668,0.09555419298318454,0.0979021490958402,0.1116647988900901
2011-09-08,0.40818340875528103,0.08766615919722594,0.11610247604754163,0.08256609026335684,0.09552799268088323,0.09782889538023583,0.11212497767547544
2011-09-09,0.40925887962165924,0.08719470552947926,0.11587599994517399,0.08229839700619289,0.0953932245292382,0.09739035928420486,0.11258843408405145
2011-09-12,0.4093274076299477,0.08748823350763209,0.11453028795796244,0.08248835059310461,0.09552940497988893,0.09764956080171835,0.11298675452974587
2011-09-13,0.4099438908550054,0.08756701304925812,0.114529457384204,0.08238147482859497,0.09543478213952099,0.0976280646277429,0.11251531711567368
2011-09-14,0.4108777362118769,0.08756606167818179,0.11425270657057418,0.08223398314229055,0.09523880835681667,0.09738987955086771,0.11244082448939213
2011-09-15,0.4098068767895729,0.08798598120364559,0.11382423824604268,0.08267890488795956,0.09587100592013645,0.09760926633108785,0.11222372662155493
2011-09-16,0.4099269022716066,0.08802967600376786,0.11371238045533028,0.08269604257593391,0.09585946137716454,0.09758892810644187,0.11218660920975485
2011-09-19,0.41116090298754854,0.0874242715546961,0.11389435205050523,0.0825482010836956,0.09592541300872219,0.0974629460750332,0.1115839132397993
2011-09-20,0.41067683325842724,0.08734157665388553,0.11422009858254825,0.08239390940609023,0.0962122292739172,0.09754117504161047,0.11161417778352112
2011-09-21,0.41341050950404057,0.08681774255347949,0.11401064406665434,0.08197732211502706,0.09634523279695516,0.09687515443489991,0.11056339452894347
2011-09-22,0.42040269327201196,0.08433559473365237,0.1123205441418587,0.08207730801768041,0.09569010793843873,0.09631140741969388,0.10886234447666399
2011-09-23,0.4216347105998875,0.0848000552596303,0.10695647046419841,0.08291206577713406,0.09673378944058031,0.09754506489492576,0.10941784356364372
2011-09-26,0.42150163717544514,0.08499042980395434,0.10708788865863574,0.0829741767141169,0.09713145442797888,0.09725711789678539,0.10905729532308377
2011-09-27,0.4217740664211156,0.08454831266194485,0.10691958411362103,0.08300723215484437,0.09750250074288264,0.0976092305834081,0.1086390733221835
2011-09-28,0.42437378683372456,0.08416239950692338,0.10594711449134916,0.08238681735054798,0.0973053776380366,0.09721316364496439,0.10861134053445398
2011-09-29,0.42458861201671005,0.08404052152391438,0.10600654577454079,0.08224581720280942,0.09725645185552674,0.09718030801700268,0.10868174360949591
2011-09-30,0.42621895156943823,0.08321297010620901,0.10622003733902514,0.08221035209428543,0.09701731570407493,0.09696247866385524,0.10815789452311209
2011-10-03,0.4294478116035642,0.0831763206574726,0.10588909188270505,0.08121825031947427,0.09647283253114139,0.0963382657710957,0.10745742723454665
2011-10-04,0.43002291018462657,0.08363515842537686,0.10576409070576764,0.07973258096319187,0.09670990643138193,0.0964248729847908,0.1077104803048645
2011-10-05,0.42903087116467786,0.08366288115526974,0.1062565228176828,0.07998861589286022,0.09648149066044792,0.09648338710408194,0.10809623120497971
2011-10-06,0.4299531587963613,0.08334018598366501,0.10658019282363242,0.07994528937235008,0.09640010832604744,0.09631119859523553,0.10746986610270834
2011-10-07,0.43022056798241787,0.08326897040205462,0.10635899071284771,0.07976873034770149,0.09641212349342783,0.09623522469647201,0.10773539236507847
2011-10-10,0.43265381977507095,0.08260930853042725,0.10602572325847288,0.07934686812562754,0.09589816737541096,0.09559713390336308,0.10786897903162734
2011-10-11,0.43240246283836853,0.08263180568741413,0.1060101070978479,0.0793770654742353,0.09586447070960426,0.095630910422843,0.10808317776968689
2011-10-12,0.43171515026284824,0.08230964064151555,0.10621810402603694,0.07950672724376188,0.09637734078370559,0.09582956175940278,0.10804347528272908
2011-10-13,0.4320873540492595,0.0822216383659035,0.10611469745488887,0.0794267169898275,0.09619023424398052,0.09572063473643888,0.10823872415970132
2011-10-14,0.4325445647668259,0.08220320951784607,0.10627622067346836,0.07934494078485906,0.09595787336744495,0.09569161091889224,0.10798157997066336
2011-10-17,0.43199130292167665,0.08202200921109297,0.10671572658940817,0.07929625242645197,0.0961744561116553,0.0957194165167617,0.10808083622295322
2011-10-18,0.4337262342328515,0.08152796022520543,0.1066070707403857,0.07892232756079715,0.09589309596637918,0.09518327058858497,0.10814004068579595
2011-10-19,0.43457651702038186,0.08143884195507899,0.1063630514182154,0.07883037195390091,0.09554872336975387,0.09509174133290713,0.1081507529497617
2011-10-20,0.4346365307620737,0.08130541912287995,0.10591961438224126,0.07900969683209838,0.09603959514612712,0.09529100114908434,0.10779814260549524
2011-10-21,0.4358664408312396,0.08093712618228224,0.10582395321242635,0.0788607745825549,0.0959580432943881,0.09499248905751248,0.10756117283959632
2011-10-24,0.440518868492616,0.07978295971883978,0.10506130624470414,0.07802931382158632,0.09495470082655133,0.09429999442050527,0.10735285647519724
2011-10-25,0.43943768169581093,0.08018700087658862,0.10471852108718438,0.07828288786308778,0.09529398983575182,0.09466494411551105,0.10741497452606535
2011-10-26,0.43890217487551136,0.08005858876081576,0.10493671651421912,0.07821543619805998,0.09555243818956904,0.09479385979308369,0.10754078566874098
